subgrupo,m1,m2,m3,m4,m5
1,99.576,99.336,100.254,100.344,100.292
2,99.905,99.984,99.936,100.301,100.192
3,100.013,100.156,100.299,100.082,99.761
4,99.984,99.906,99.65,99.55,100.033
5,99.77,100.091,99.824,100.177,100.195
6,100.084,99.736,99.551,100.471,99.988
7,100.451,99.948,99.741,100.001,99.729
8,100.01,100.362,100.198,100.682,100.082
9,100.077,99.801,99.795,100.061,99.805
10,99.931,99.933,99.746,100.515,99.573
11,100.034,100.22,100.25,99.909,99.773
12,100.545,100.489,100.04,100.011,100.029
13,99.755,99.997,100.251,100.172,99.794
14,100.18,99.819,99.639,100.087,100.151
15,100.336,99.815,100.243,100.129,100.063
16,99.91,99.95,100.117,100.08,99.734
17,99.87,99.982,100.222,100.107,99.994
18,99.944,100.359,99.897,99.826,99.899
19,100.081,100.001,99.877,99.895,100.121
20,100.109,100.073,99.79,100.003,100.276
21,100.538,101.084,100.755,100.918,100.475
22,100.315,100.022,100.101,100.169,100.37
23,99.976,100.155,100.061,99.678,99.757
24,99.703,99.987,100.072,100.133,100.242
25,100.08,99.739,100.413,100.057,99.883
