subgrupo,medicion
1,99.576
1,99.336
1,100.254
1,100.344
1,100.292
2,99.905
2,99.984
2,99.936
2,100.301
2,100.192
3,100.013
3,100.156
3,100.299
3,100.082
3,99.761
4,99.984
4,99.906
4,99.65
4,99.55
4,100.033
5,99.77
5,100.091
5,99.824
5,100.177
5,100.195
6,100.084
6,99.736
6,99.551
6,100.471
6,99.988
7,100.451
7,99.948
7,99.741
7,100.001
7,99.729
8,100.01
8,100.362
8,100.198
8,100.682
8,100.082
9,100.077
9,99.801
9,99.795
9,100.061
9,99.805
10,99.931
10,99.933
10,99.746
10,100.515
10,99.573
11,100.034
11,100.22
11,100.25
11,99.909
11,99.773
12,100.545
12,100.489
12,100.04
12,100.011
12,100.029
13,99.755
13,99.997
13,100.251
13,100.172
13,99.794
14,100.18
14,99.819
14,99.639
14,100.087
14,100.151
15,100.336
15,99.815
15,100.243
15,100.129
15,100.063
16,99.91
16,99.95
16,100.117
16,100.08
16,99.734
17,99.87
17,99.982
17,100.222
17,100.107
17,99.994
18,99.944
18,100.359
18,99.897
18,99.826
18,99.899
19,100.081
19,100.001
19,99.877
19,99.895
19,100.121
20,100.109
20,100.073
20,99.79
20,100.003
20,100.276
21,100.538
21,101.084
21,100.755
21,100.918
21,100.475
22,100.315
22,100.022
22,100.101
22,100.169
22,100.37
23,99.976
23,100.155
23,100.061
23,99.678
23,99.757
24,99.703
24,99.987
24,100.072
24,100.133
24,100.242
25,100.08
25,99.739
25,100.413
25,100.057
25,99.883
