m1,m2,m3,m4,m5
100.2,99.8,100.5,100.1,99.9
100.4,100.0,99.8,100.2,100.3
99.7,99.9,100.1,100.0,100.2
100.3,100.5,100.2,100.4,99.8
100.1,99.9,100.0,99.8,100.3
100.2,100.1,99.7,100.0,99.9
100.4,99.8,100.5,100.3,100.0
100.1,100.2,99.9,100.0,99.8
99.9,100.0,100.1,100.3,99.7
100.2,100.4,100.1,100.3,99.9
99.8,100.0,99.9,100.2,100.3
100.3,99.7,100.1,100.0,99.8
100.1,100.4,99.9,100.2,100.0
99.9,100.3,100.0,100.1,99.8
100.0,100.2,100.3,99.9,100.1
100.4,99.8,100.1,100.2,99.9
99.7,100.0,99.8,100.1,100.2
100.2,100.3,99.9,100.0,99.8
100.0,100.1,100.3,99.9,100.2
100.1,99.8,100.0,100.2,99.9
